source,target,created_at,is_reciprocal
2007a8cf-3c59-4d0a-9f8c-3ce1d53aac12,35e6d825-686b-4334-9892-853302ec2df0,2025-09-22 11:31:30.247889+00,false
914591d1-12e0-4d36-99f0-fdbd6d655693,4374fff4-edde-4c96-b797-7d92096a9e6a,2025-09-23 06:25:48.513156+00,false
89012806-c540-4e9c-969f-d0c6700326fe,3f6bff50-7807-41fc-ac17-2fecf5245c64,2025-10-17 02:25:21.705125+00,false
89012806-c540-4e9c-969f-d0c6700326fe,84cbc162-127a-481b-8937-d0cb16a6f3b9,2025-10-17 02:25:22.647468+00,false
89012806-c540-4e9c-969f-d0c6700326fe,a74bcc80-497c-4a66-b3e6-1dfd945e2a90,2025-10-17 02:25:25.382862+00,false
89012806-c540-4e9c-969f-d0c6700326fe,3829776f-57d2-4be2-8685-e4b1ee4d9845,2025-10-17 02:25:26.515693+00,false
89012806-c540-4e9c-969f-d0c6700326fe,4374fff4-edde-4c96-b797-7d92096a9e6a,2025-10-17 02:25:26.7103+00,false
89012806-c540-4e9c-969f-d0c6700326fe,cf726e83-c0f3-45ce-bc23-92718c3e762d,2025-10-17 02:25:27.793756+00,false
89012806-c540-4e9c-969f-d0c6700326fe,afd8aff8-8057-4728-b76c-28305245ef12,2025-10-17 02:25:28.817934+00,false
89012806-c540-4e9c-969f-d0c6700326fe,791cbf3a-ad3f-4a57-a1f0-58d1671adecc,2025-10-17 02:25:29.553345+00,false
89012806-c540-4e9c-969f-d0c6700326fe,6b97fbcd-4c8c-4b16-aa23-7574e967342c,2025-10-17 02:25:30.780944+00,false
89012806-c540-4e9c-969f-d0c6700326fe,03486c02-1a58-4156-b966-e1bcf2d7c258,2025-10-17 02:25:31.330316+00,false
89012806-c540-4e9c-969f-d0c6700326fe,6bac0e20-ba6d-4967-8e76-637e9f0fe98f,2025-10-17 02:25:32.298543+00,false
89012806-c540-4e9c-969f-d0c6700326fe,1c002409-7328-4725-b91c-8fa210dc74cc,2025-10-17 02:25:33.879473+00,false
89012806-c540-4e9c-969f-d0c6700326fe,9eec49b4-bb52-40a5-aaee-1bb074266541,2025-10-17 02:25:34.196342+00,false
89012806-c540-4e9c-969f-d0c6700326fe,d1bec214-d872-4c81-bd2e-ea47fa06763d,2025-10-17 02:25:35.294025+00,false
89012806-c540-4e9c-969f-d0c6700326fe,914c5822-337f-4a9f-bb3a-9ac77fcaa7ce,2025-10-17 02:25:35.966983+00,false
89012806-c540-4e9c-969f-d0c6700326fe,931d8820-b9fb-4bdb-ad6c-5cb4a5515ea9,2025-10-17 02:25:36.224731+00,false
89012806-c540-4e9c-969f-d0c6700326fe,25e6d467-32b1-42e3-9eab-29811b6f89c6,2025-10-17 02:25:39.029153+00,false
89012806-c540-4e9c-969f-d0c6700326fe,e19b04ea-9bea-496f-b87b-8295fe1f1de5,2025-10-17 02:25:44.07565+00,false
89012806-c540-4e9c-969f-d0c6700326fe,a774c11b-d3d7-435c-8335-1aa9b957607f,2025-10-17 02:25:45.858793+00,false
89012806-c540-4e9c-969f-d0c6700326fe,df707752-9148-4e44-96cf-dacb3d52951f,2025-10-17 02:25:53.401799+00,false
ccb40f2b-3232-41a3-a9be-346e1e034968,18834126-179a-4198-ae2e-e52525ea0338,2025-11-09 11:58:10.181527+00,false
cdb85983-6846-43f9-a354-7f0e7c69874b,44577120-05e6-4f8f-b660-5ab670d07187,2025-11-17 14:00:17.283046+00,true
28c5d559-12d8-47de-b7cc-2754cd105aaf,357f6949-e045-43e6-b24a-82c54a65f60c,2025-11-30 02:24:57.903487+00,true
357f6949-e045-43e6-b24a-82c54a65f60c,5bfae0a7-1d00-46f7-a171-93e4e040b7ca,2025-12-01 06:19:01.547708+00,false
ba77f4af-a44b-4fe8-8d7d-ade12feb088c,e6121d8a-e82f-43e3-9657-c26308f1f83a,2025-12-11 11:38:12.353943+00,true
20548e32-d995-462b-b3b8-02d64ed0f487,45c9a738-29a9-49dc-ae84-ee0dd518f797,2026-01-06 04:25:18.876932+00,true
c2737fec-de62-4a25-accc-83ae0d362e6c,6a50d8d9-cc0d-4523-9cb5-c68b208c49c5,2026-01-10 00:57:23.426711+00,true
9687e789-0f6c-499d-b4d4-2604dde7a5d3,cf726e83-c0f3-45ce-bc23-92718c3e762d,2026-02-13 15:21:59.023985+00,false
c9fb2d65-53a6-46fc-9031-c201a906cd5b,128cf989-aaaa-4382-b9bf-04f9395a2e97,2026-04-19 23:45:40.349086+00,false
89012806-c540-4e9c-969f-d0c6700326fe,b9062cd1-494c-4619-a153-2ef8862bba7d,2025-10-17 02:25:37.738754+00,false
89012806-c540-4e9c-969f-d0c6700326fe,9f5d0526-7c2f-4e55-907e-4e214e51893b,2025-10-17 02:25:39.632567+00,false
89012806-c540-4e9c-969f-d0c6700326fe,d9618c2c-e0b1-4373-b61b-b94db96e5698,2025-10-17 02:25:44.33458+00,false
89012806-c540-4e9c-969f-d0c6700326fe,53c19d81-eff7-42ad-9e50-267c33db318f,2025-10-17 02:25:45.158296+00,false
89012806-c540-4e9c-969f-d0c6700326fe,8db92e65-7e3c-41a9-86b4-0c2f95e17c2c,2025-10-17 02:25:53.763702+00,false
be516f5c-fe54-48de-80af-2767abe3a5d6,904d2f22-8f54-451b-8a9c-35582a4f451c,2025-11-08 09:51:10.7947+00,true
cdb85983-6846-43f9-a354-7f0e7c69874b,ca897136-6c03-49d2-9922-ca5cec251de3,2025-11-17 14:00:17.650542+00,true
c6e001d0-4691-4135-b630-30777dda0ef1,7cfbd706-8349-46d2-a673-0467cbe78bc1,2025-11-19 12:40:35.25289+00,true
28c5d559-12d8-47de-b7cc-2754cd105aaf,bafaa02d-d479-4f90-8708-d257c5e567b6,2025-11-30 02:25:37.031149+00,false
28c5d559-12d8-47de-b7cc-2754cd105aaf,6374fa3b-1314-44db-a25e-d86ab50af1de,2025-11-30 02:26:01.298083+00,false
28c5d559-12d8-47de-b7cc-2754cd105aaf,0813f0a0-23cd-4455-971a-9184578722e8,2025-12-02 07:16:28.94157+00,false
e6121d8a-e82f-43e3-9657-c26308f1f83a,ba77f4af-a44b-4fe8-8d7d-ade12feb088c,2025-12-11 11:38:19.989467+00,true
6e26bb99-1465-4cb9-acca-5504263941bb,01c5031b-8af9-45ac-8272-d0a29cc1c4f0,2025-12-21 09:54:33.723736+00,true
